adm3_code,zip_code,store_type,store_name,store_latitude,store_longitude,store_muni,store_state,store_region
PH0702210000,6010,Jollibee,BOGO HIGHWAY,11.045795,124.002428,BOGO,CEBU,Region 7 (Central Visayas)
PH0702222000,6004,Jollibee,DANAO,10.519222,124.026273,DANAO,CEBU,Region 7 (Central Visayas)
PH0603047000,6100,Jollibee,MANDALAGAN BACOLOD DT,10.695288,122.961077,BACOLOD,NEGROS OCCIDENTAL,Region 6 (Western Visayas)
PH0603047000,6100,Jollibee,BACOLOD LA SALLE,10.678946,122.959863,BACOLOD,NEGROS OCCIDENTAL,Region 6 (Western Visayas)
PH0603047000,6100,Jollibee,LOPUE'S EAST,10.664199,122.967463,BACOLOD,NEGROS OCCIDENTAL,Region 6 (Western Visayas)
PH0603047000,6100,Jollibee,BACOLOD LACSON,10.674827,122.952881,BACOLOD,NEGROS OCCIDENTAL,Region 6 (Western Visayas)
PH0603047000,6100,Jollibee,GAISANO BACOLOD,10.659063,122.939391,BACOLOD,NEGROS OCCIDENTAL,Region 6 (Western Visayas)
PH0702227000,6002,Jollibee,LILOAN HIGHWAY,10.401974,123.999778,LILOAN,CEBU,Region 7 (Central Visayas)
PH0702216000,6000,Jollibee,GAISANO GRAND TALAMBAN,10.366951,123.913751,CEBU CITY,CEBU,Region 7 (Central Visayas)
PH0702219000,6001,Jollibee,CEBU CONSOLACION,10.376348,123.960065,CONSOLACION,CEBU,Region 7 (Central Visayas)
PH0702216000,6000,Jollibee,CEBU GAISANO COUNTRYMALL,10.339787,123.91099,CEBU CITY,CEBU,Region 7 (Central Visayas)
PH0702229000,6014,Jollibee,CEBU GAISANO COUNTRYMALL,10.34545469,123.930577,MANDAUE,CEBU,Region 7 (Central Visayas)
PH0702216000,6000,Jollibee,LAHUG,10.32993,123.898044,CEBU CITY,CEBU,Region 7 (Central Visayas)
PH0702229000,6014,Jollibee,PACIFIC MALL,10.340685,123.947941,MANDAUE,CEBU,Region 7 (Central Visayas)
PH0702229000,6014,Jollibee,AS FORTUNA,10.33212,123.936006,MANDAUE,CEBU,Region 7 (Central Visayas)
PH0702216000,6000,Jollibee,CEBU GUADALUPE,10.315475,123.885188,CEBU CITY,CEBU,Region 7 (Central Visayas)
PH0702216000,6000,Jollibee,F.CABAHUG,10.325316,123.918827,CEBU CITY,CEBU,Region 7 (Central Visayas)
PH0702216000,6000,Jollibee,OSMENA BOULEVARD DT,10.315215,123.891492,CEBU CITY,CEBU,Region 7 (Central Visayas)
PH0702216000,6000,Jollibee,SKYRISE BETA,10.317817,123.908784,CEBU CITY,CEBU,Region 7 (Central Visayas)
PH0702229000,6014,Jollibee,CEBU MANDAUE CENTRO,10.328066,123.942607,MANDAUE,CEBU,Region 7 (Central Visayas)
PH0702216000,6000,Jollibee,CEBU GORORDO,10.311108,123.903547,CEBU CITY,CEBU,Region 7 (Central Visayas)
PH0702216000,6000,Jollibee,F. LLAMAS,10.295393,123.869624,CEBU CITY,CEBU,Region 7 (Central Visayas)
PH0702216000,6000,Jollibee,CEBU USC,10.300013,123.897938,CEBU CITY,CEBU,Region 7 (Central Visayas)
PH0702216000,6000,Jollibee,CEBU LEON KILAT,10.295664,123.896416,CEBU CITY,CEBU,Region 7 (Central Visayas)
PH0702225000,6015,Jollibee,CEBU GAISANO MACTAN,10.317044,123.96305,LAPU LAPU ,CEBU,Region 7 (Central Visayas)
