adm3_code,adm3_en,geo_level,inc_class,adm_year
PH0102801000,ADAMS,Mun,5th,2020
PH0102802000,BACARRA,Mun,3rd,2020
PH0102803000,BADOC,Mun,3rd,2020
PH0102804000,BANGUI,Mun,4th,2020
PH0102805000,CITY OF BATAC,City,5th,2020
PH0102806000,BURGOS,Mun,5th,2020
PH0102807000,CARASI,Mun,5th,2020
PH0102808000,CURRIMAO,Mun,4th,2020
PH0102809000,DINGRAS,Mun,2nd,2020
PH0102810000,DUMALNEG,Mun,5th,2020
PH0102811000,BANNA,Mun,4th,2020
PH0102812000,CITY OF LAOAG ,City,3rd,2020
PH0102813000,MARCOS,Mun,4th,2020
PH0102814000,NUEVA ERA,Mun,3rd,2020
PH0102815000,PAGUDPUD,Mun,4th,2020
PH0102816000,PAOAY,Mun,4th,2020
PH0102817000,PASUQUIN,Mun,3rd,2020
PH0102818000,PIDDIG,Mun,3rd,2020
PH0102819000,PINILI,Mun,3rd,2020
PH0102820000,SAN NICOLAS,Mun,2nd,2020
PH0102821000,SARRAT,Mun,4th,2020
PH0102822000,SOLSONA,Mun,3rd,2020
PH0102823000,VINTAR,Mun,1st,2020
PH0102901000,ALILEM,Mun,4th,2020
PH0102902000,BANAYOYO,Mun,4th,2020
PH0102903000,BANTAY,Mun,3rd,2020
PH0102904000,BURGOS,Mun,4th,2020
PH0102905000,CABUGAO,Mun,1st,2020
PH0102906000,CITY OF CANDON,City,4th,2020
PH0102907000,CAOAYAN,Mun,4th,2020
PH0102908000,CERVANTES,Mun,4th,2020
PH0102909000,GALIMUYOD,Mun,4th,2020
PH0102910000,GREGORIO DEL PILAR,Mun,5th,2020
PH0102911000,LIDLIDDA,Mun,5th,2020
PH0102912000,MAGSINGAL,Mun,3rd,2020
PH0102913000,NAGBUKEL,Mun,5th,2020
PH0102914000,NARVACAN,Mun,2nd,2020
PH0102915000,QUIRINO,Mun,4th,2020
PH0102916000,SALCEDO,Mun,4th,2020
PH0102917000,SAN EMILIO,Mun,4th,2020
PH0102918000,SAN ESTEBAN,Mun,5th,2020
PH0102919000,SAN ILDEFONSO,Mun,5th,2020
PH0102920000,SAN JUAN,Mun,3rd,2020
PH0102921000,SAN VICENTE,Mun,5th,2020
PH0102922000,SANTA,Mun,4th,2020
PH0102923000,SANTA CATALINA,Mun,5th,2020
PH0102924000,SANTA CRUZ,Mun,1st,2020
PH0102925000,SANTA LUCIA,Mun,3rd,2020
PH0102926000,SANTA MARIA,Mun,3rd,2020
PH0102927000,SANTIAGO,Mun,4th,2020
PH0102928000,SANTO DOMINGO,Mun,3rd,2020
PH0102929000,SIGAY,Mun,5th,2020
PH0102930000,SINAIT,Mun,3rd,2020
PH0102931000,SUGPON,Mun,5th,2020
PH0102932000,SUYO,Mun,4th,2020
PH0102933000,TAGUDIN,Mun,2nd,2020
PH0102934000,CITY OF VIGAN ,City,4th,2020
PH0103301000,AGOO,Mun,1st,2020
PH0103302000,ARINGAY,Mun,2nd,2020
PH0103303000,BACNOTAN,Mun,1st,2020
PH0103304000,BAGULIN,Mun,5th,2020
PH0103305000,BALAOAN,Mun,1st,2020
PH0103306000,BANGAR,Mun,3rd,2020
PH0103307000,BAUANG,Mun,1st,2020
PH0103308000,BURGOS,Mun,5th,2020
PH0103309000,CABA,Mun,4th,2020
PH0103310000,LUNA,Mun,3rd,2020
PH0103311000,NAGUILIAN,Mun,1st,2020
PH0103312000,PUGO,Mun,5th,2020
PH0103313000,ROSARIO,Mun,1st,2020
PH0103314000,CITY OF SAN FERNANDO ,City,3rd,2020
PH0103315000,SAN GABRIEL,Mun,4th,2020
PH0103316000,SAN JUAN,Mun,2nd,2020
PH0103317000,SANTO TOMAS,Mun,4th,2020
PH0103318000,SANTOL,Mun,4th,2020
PH0103319000,SUDIPEN,Mun,4th,2020
PH0103320000,TUBAO,Mun,4th,2020
PH0105501000,AGNO,Mun,3rd,2020
PH0105502000,AGUILAR,Mun,3rd,2020
PH0105503000,CITY OF ALAMINOS,City,4th,2020
PH0105504000,ALCALA,Mun,3rd,2020
PH0105505000,ANDA,Mun,3rd,2020
PH0105506000,ASINGAN,Mun,2nd,2020
PH0105507000,BALUNGAO,Mun,4th,2020
PH0105508000,BANI,Mun,2nd,2020
PH0105509000,BASISTA,Mun,4th,2020
PH0105510000,BAUTISTA,Mun,4th,2020
PH0105511000,BAYAMBANG,Mun,1st,2020
PH0105512000,BINALONAN,Mun,1st,2020
PH0105513000,BINMALEY,Mun,1st,2020
PH0105514000,BOLINAO,Mun,1st,2020
PH0105515000,BUGALLON,Mun,2nd,2020
PH0105516000,BURGOS,Mun,4th,2020
PH0105517000,CALASIAO,Mun,1st,2020
PH0105518000,CITY OF DAGUPAN,City,2nd,2020
PH0105519000,DASOL,Mun,3rd,2020
PH0105520000,INFANTA,Mun,3rd,2020
PH0105521000,LABRADOR,Mun,4th,2020
PH0105522000,LINGAYEN ,Mun,1st,2020
PH0105523000,MABINI,Mun,3rd,2020
PH0105524000,MALASIQUI,Mun,1st,2020
PH0105525000,MANAOAG,Mun,1st,2020
PH0105526000,MANGALDAN,Mun,1st,2020
PH0105527000,MANGATAREM,Mun,1st,2020
PH0105528000,MAPANDAN,Mun,3rd,2020
PH0105529000,NATIVIDAD,Mun,4th,2020
PH0105530000,POZORRUBIO,Mun,1st,2020
PH0105531000,ROSALES,Mun,1st,2020
PH0105532000,CITY OF SAN CARLOS,City,3rd,2020
PH0105533000,SAN FABIAN,Mun,1st,2020
PH0105534000,SAN JACINTO,Mun,3rd,2020
PH0105535000,SAN MANUEL,Mun,1st,2020
PH0105536000,SAN NICOLAS,Mun,1st,2020
PH0105537000,SAN QUINTIN,Mun,3rd,2020
PH0105538000,SANTA BARBARA,Mun,1st,2020
PH0105539000,SANTA MARIA,Mun,4th,2020
PH0105540000,SANTO TOMAS,Mun,5th,2020
PH0105541000,SISON,Mun,3rd,2020
PH0105542000,SUAL,Mun,1st,2020
PH0105543000,TAYUG,Mun,3rd,2020
PH0105544000,UMINGAN,Mun,1st,2020
PH0105545000,URBIZTONDO,Mun,3rd,2020
PH0105546000,CITY OF URDANETA,City,2nd,2020
PH0105547000,VILLASIS,Mun,1st,2020
PH0105548000,LAOAC,Mun,4th,2020
PH0200901000,BASCO ,Mun,5th,2020
PH0200902000,ITBAYAT,Mun,5th,2020
PH0200903000,IVANA,Mun,6th,2020
PH0200904000,MAHATAO,Mun,6th,2020
PH0200905000,SABTANG,Mun,6th,2020
PH0200906000,UYUGAN,Mun,6th,2020
PH0201501000,ABULUG,Mun,3rd,2020
PH0201502000,ALCALA,Mun,3rd,2020
PH0201503000,ALLACAPAN,Mun,3rd,2020
PH0201504000,AMULUNG,Mun,2nd,2020
PH0201505000,APARRI,Mun,1st,2020
PH0201506000,BAGGAO,Mun,1st,2020
PH0201507000,BALLESTEROS,Mun,4th,2020
PH0201508000,BUGUEY,Mun,3rd,2020
PH0201509000,CALAYAN,Mun,3rd,2020
PH0201510000,CAMALANIUGAN,Mun,4th,2020
PH0201511000,CLAVERIA,Mun,3rd,2020
PH0201512000,ENRILE,Mun,3rd,2020
PH0201513000,GATTARAN,Mun,1st,2020
PH0201514000,GONZAGA,Mun,1st,2020
PH0201515000,IGUIG,Mun,4th,2020
PH0201516000,LAL LO,Mun,1st,2020
PH0201517000,LASAM,Mun,3rd,2020
PH0201518000,PAMPLONA,Mun,4th,2020
PH0201519000,PENABLANCA,Mun,1st,2020
PH0201520000,PIAT,Mun,4th,2020
PH0201521000,RIZAL,Mun,5th,2020
PH0201522000,SANCHEZ MIRA,Mun,3rd,2020
PH0201523000,SANTA ANA,Mun,2nd,2020
PH0201524000,SANTA PRAXEDES,Mun,5th,2020
PH0201525000,SANTA TERESITA,Mun,4th,2020
PH0201526000,SANTO NINO,Mun,2nd,2020
PH0201527000,SOLANA,Mun,1st,2020
PH0201528000,TUAO,Mun,1st,2020
PH0201529000,CITY OF TUGUEGARAO,City,3rd,2020
PH0203101000,ALICIA,Mun,1st,2020
