zip_code,adm3_code,zip_region,zip_province,zip_city
1000,PH1380600000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,ERMITA
1001,PH1380600000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,QUIAPO
1002,PH1380600000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,INTRAMUROS
1003,PH1380600000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,STA. CRUZ (SOUTH)
1004,PH1380600000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,MALATE
1006,PH1380600000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,BINONDO
1007,PH1380600000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,PACO
1008,PH1380600000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,SAMPALOC (EAST)
1009,PH1380600000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,STA. ANA
1010,PH1380600000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,SAN NICOLAS
1011,PH1380600000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,PANDACAN
1011,PH1380600000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,PANDACAN
1012,PH1380600000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,TONDO (SOUTH)
1013,PH1380600000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,TONDO (NORTH)
1014,PH1380600000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,STA. CRUZ (NORTH)
1015,PH1380600000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,SAMPALOC (WEST)
1016,PH1380600000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,STA. MESA
1017,PH1380600000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,SAN ANDRES BUKID
1018,PH1380600000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,PORT AREA (SOUTH)
1100,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,CITY OF QUEZON CPO
1100,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,PROJECT 6
1100,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,PINAHAN
1100,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,CITY OF QUEZON
1101,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,UP VILLAGE
1101,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,UNIV. OF THE PHILS. PO
1101,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,TEACHERS VILLAGE
1101,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,SIKATUNA VILLAGE
1101,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,SAN VICENTE
1101,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,OLD CAPITOL SITE
1101,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,MALAYA
1101,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,KRUS NA LIGAS
1101,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,DILIMAN
1101,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,BOTOCAN
1102,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,SILANGAN
1102,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,QUIRINO DIST. 
1102,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,KAMIAS
1102,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,E. RODRIGUEZ
1102,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,DUYANDUYAN
1102,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,CLARO
1102,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,AMIHAN
1103,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,SOUTH TRIANGLE
1103,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,SACRED HEART
1103,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,ROXAS DISTRICT
1103,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,PALIGSAHAN
1103,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,OBRERO
1103,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,LANGING HANDA
1103,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,KAMUNING
1104,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,TALAYAN
1104,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,SANTA CRUZ
1104,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,PHILAM
1104,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,PARAISO
1104,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,NAYON KAUNLARAN
1104,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,MARIBLO
1104,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,DAMAYAN
1105,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,VETERANS VILLAGE
1105,PH1381300000,NCR (NATIONAL CAPITAL REGION),METRO MANILA,STO. CRISTO
